gameId,userColor,moveNumber,san,sacrifice,sacSquare,playedEval,evalLoss,quietAlt,margin,shape,accepted,admitted,fresh,standing,rejectedBy,label
169999249810,w,19,Rxd6,2,d6,342,113,455,-113,direct,true,offer,0,0,necessary,0
169999249810,w,20,Rc6,3,c6,688,506,1194,-506,direct,true,offer,0,0,strong,0
169999249810,w,21,Rd6,5,d6,347,592,939,-592,direct,true,offer,0,0,strong,0
169999249810,w,24,Ne6,2,e6,256,102,358,-102,direct,false,offer,0,0,necessary,1
169999249810,w,25,Bc5,0,,37,266,303,-266,direct,false,allow,1,2,strong,0
169999249810,w,26,Bxf8,-5,,181,193,374,-193,direct,false,allow,0,2,strong,0
169999249810,w,27,Re1,0,,277,191,467,-190,direct,false,allow,1,2,strong,0
169999249810,w,28,Kf1,0,,437,-80,171,266,direct,true,allow,0,2,,0
169999249810,w,29,Rd1,1,e6,162,524,686,-524,discovered,true,allow,1,2,strong,0
169869209718,b,13,Qc3,8,c3,-318,681,363,-681,direct,false,offer,0,0,sound,0
169869209718,b,16,Qxc3,4.8,c3,326,-102,88,238,direct,false,offer,0,0,,1
169869209718,b,17,exd5,0,,-391,705,210,-601,direct,true,allow,0,8,sound,0
169869209718,b,21,Nd7,0,,498,189,591,-93,direct,true,allow,2,0,strong,0
169869209718,b,22,Rxh2,0,,568,61,629,-61,direct,true,allow,0,2,necessary,0
169869209718,b,31,Rc5+,3.2,d2,651,1,648,3,discovered,false,offer,0,0,necessary,0
169869209718,b,41,Kb8,0,,-638,638,0,-638,direct,true,allow,5,0,sound,0
169707657412,b,11,d5,3,c5,-12,302,290,-302,discovered,true,offer,0.2,0,sound,0
169666987558,b,8,Kd8,0,,754,-18,674,80,direct,true,allow,5,0,,0
169566118076,w,14,Bd7,3.2,d7,595,135,730,-135,direct,true,offer,0,0,strong,0
169566118076,w,16,Nxe5,0,,717,220,937,-220,direct,true,allow,0,3.2,strong,0
169566118076,w,17,dxe4,-3,,934,4,938,-4,direct,true,allow,0,3.2,necessary,0
169566118076,w,18,Nxg4,-3,,966,228,1194,-228,direct,false,allow,0,3.2,strong,0
169566118076,w,19,Qd7,0,,1227,98733,1514,-287,direct,false,allow,0,2.2,strong,0
169551697602,b,6,Nxd5,-1,d5,-141,244,103,-244,direct,true,allow,3.2,0,sound,0
169551697602,b,8,Qh5,0,,-310,-7,-328,18,direct,true,allow,3,0,sound,0
169551697602,b,20,Rd8,0,,579,59,625,-46,direct,false,allow,3,0,necessary,0
169551697602,b,21,exf4,1,f4,631,15,646,-15,direct,false,allow,1,3,necessary,0
169332261018,w,10,Qxd4,9,d4,-656,686,18,-674,direct,true,offer,0,0,sound,0
169332261018,w,12,Rd1,0,,-724,45,-679,-45,direct,false,allow,3.2,0,sound,0
169332261018,w,13,Nxd1,-9,,-701,-11,-1311,610,direct,true,allow,0,3.2,sound,0
169332261018,w,23,Nxf7,-2,f7,-417,19,-466,49,direct,true,allow,3,0,sound,0
169332261018,w,31,Be5,2.2,e5,-99920,99289,-631,-99289,direct,false,offer,5,0,sound,0
169332261018,w,32,Kh3,0,,-99900,98551,-99970,70,direct,true,allow,0,5,sound,0
169332261018,w,35,Nf3,3,f3,-99970,30,-99940,-30,direct,false,offer,3.2,0,sound,0
169332261018,w,36,Bd4,3.2,d4,-99980,20,-99960,-20,direct,true,offer,1,0,sound,0
169332261018,w,37,Kg4,0,,-99980,0,,,direct,false,allow,1,3.2,sound,0
169289092040,b,6,O-O-O,0,,-505,551,46,-551,direct,true,allow,6,0,sound,0
169288940540,b,9,Bg4,0,,103,4,92,11,direct,false,allow,2,0,necessary,0
169288940540,b,13,Ng3+,3,g3,-312,626,314,-626,direct,true,offer,0,0,sound,0
169264876272,w,12,Nxb5,3,b5,716,55,766,-50,direct,false,offer,0,0.2,necessary,0
169264876272,w,19,Nxg6,2,g6,262,309,571,-309,direct,true,offer,1,0,strong,0
